iter,ns,epot,ekin,etot,T,ext_force_x_atom0,ext_force_x_atom1026,molecular_extension,t
200000,0.19999999999999998,[-1269.0161650180817],[1026.69030762],[-242.3258574],[335.38076259],0.8890472650527954,-0.7722064852714539,2.5246238708496094,4907.427938222885
205000,0.205,[-597.5828698277473],[1005.12182617],[407.53895634],[328.33515818],0.5568310022354126,-0.3454391658306122,4.498376846313477,5023.305989027023
210000,0.21,[-1155.474851846695],[1049.28686523],[-106.18798661],[342.76220047],0.6325550079345703,-0.17718373239040375,4.805999279022217,5146.240383863449
215000,0.215,[-1181.5535082817078],[979.34277344],[-202.21073484],[319.91411992],1.4207344055175781,-0.21648216247558594,2.8135986328125,5263.289238214493
220000,0.22,[-915.3029072284698],[1018.48730469],[103.18439746],[332.70115282],0.7867843508720398,-0.45902368426322937,3.8684139251708984,5386.435966014862
225000,0.22499999999999998,[-992.7329519987106],[1046.60644531],[53.87349331],[341.88660899],0.9585937857627869,-0.4845741391181946,3.451308250427246,5510.034223794937
230000,0.22999999999999998,[-1118.0099754333496],[994.96044922],[-123.04952621],[325.01582194],1.0637272596359253,-0.7955066561698914,2.4874372482299805,5633.410694599152
235000,0.235,[-1406.0409573316574],[1006.01867676],[-400.02228057],[328.62812523],0.4907371699810028,-0.43750840425491333,4.891201972961426,5757.243465185165
240000,0.24,[-1412.318591684103],[1038.39123535],[-373.92735633],[339.20301165],0.44034576416015625,-0.4484487473964691,5.0661234855651855,5881.625852108002
245000,0.245,[-1196.957856297493],[990.59350586],[-206.36435044],[323.58930726],0.432394415140152,-0.10269870609045029,6.026670932769775,6006.09972858429
250000,0.25,[-1119.350357323885],[1031.64990234],[-87.70045498],[337.00087398],0.48403626680374146,-0.21833400428295135,5.68477201461792,6123.189492464066
255000,0.255,[-1243.7353016287088],[1010.11547852],[-233.61982311],[329.9663949],0.33934518694877625,-0.18077583611011505,6.216689109802246,6246.623830318451
260000,0.26,[-1061.988036222756],[1001.51879883],[-60.46923739],[327.15818588],-0.08889999240636826,-0.29249706864356995,7.084292888641357,6371.574312925339
265000,0.265,[-582.7969323694706],[1035.8762207],[453.07928833],[338.38145181],-0.17242012917995453,-0.5534054040908813,6.717116355895996,6496.3111617565155
270000,0.26999999999999996,[-823.2196725010872],[1048.07067871],[224.85100621],[342.36491848],-0.093988798558712,-0.6429039239883423,6.3735857009887695,6620.487724065781
275000,0.27499999999999997,[-1244.8764259964228],[1013.59655762],[-231.27986838],[331.10353135],0.14204712212085724,-0.3909977078437805,6.489555358886719,6737.321763753891
280000,0.27999999999999997,[-1334.489480111748],[970.50817871],[-363.9813014],[317.02819308],0.10681495815515518,-0.12943878769874573,7.307826995849609,6862.391789674759
285000,0.285,[-944.8445490971208],[1048.43359375],[103.58904465],[342.48346905],-0.22029685974121094,-0.12091064453125,8.223220825195312,6986.122621536255
290000,0.29,[-976.6415680497885],[1041.46850586],[64.82693781],[340.20823915],0.21836815774440765,-0.10716915130615234,7.237205982208252,7110.507155656815
295000,0.295,[-592.6803443133831],[1033.25646973],[440.57612541],[337.52567858],0.3832855224609375,0.019458770751953125,7.217776298522949,7234.969918966293
300000,0.3,[-1003.5106766670942],[994.49438477],[-9.0162919],[324.86357637],0.31144410371780396,-0.07636814564466476,7.234106540679932,7359.507142066956
305000,0.305,[-1470.5753367096186],[1003.70202637],[-466.87331034],[327.87136346],-0.08478088676929474,0.3090810775756836,9.264585494995117,7475.957191228867
310000,0.31,[-963.754918590188],[992.90454102],[29.14962243],[324.34423474],-0.12320785969495773,0.3132358491420746,9.447334289550781,7593.069682598114
315000,0.315,[-1234.3331049978733],[996.90930176],[-237.42380324],[325.65243811],-0.27551156282424927,-0.356332391500473,8.230466842651367,7710.898962020874
320000,0.32,[-1187.0117505788803],[1010.15319824],[-176.85855234],[329.97871651],0.34536170959472656,-0.4737871289253235,6.460940837860107,7828.69038438797
325000,0.325,[-1050.2021435797215],[1047.28222656],[-2.91991702],[342.10736108],0.2954792082309723,-0.4766431748867035,6.654800891876221,7945.6084241867065
330000,0.32999999999999996,[-713.9614972174168],[1028.70678711],[314.74528989],[336.03946992],0.06079292297363281,-0.6004993319511414,7.008170127868652,8063.076817750931
335000,0.33499999999999996,[-1206.954617023468],[999.27661133],[-207.6780057],[326.42574831],0.43398401141166687,-1.2561359405517578,4.512394905090332,8180.5212643146515
340000,0.33999999999999997,[-976.5070986747742],[1018.72753906],[42.22044039],[332.77962827],0.3635292053222656,-1.3889683485031128,4.432744979858398,8298.352349758148
